session_id,user_id,session_start_timestamp,booking_timestamp,time_to_booking
CP0lbAGnb5UNi3Ut,TcCIMrtQ75wHGXVj,02:39.2,null,
UQAjrPYair63L1p8,TcCIMrtQ75wHGXVj,12:51.5,null,
9zQrAPxV5oi2SzSa,TcCIMrtQ75wHGXVj,46:40.8,null,
kkrz1M5vxrQ8wXRZ,GUGVzto9KGqeX3dc,48:51.0,null,
AKDXZWWFYKViHC27,null,30:50.0,null,
ABZZFrwItZAPdYGP,v2EBIHmOdQfalI6k,41:36.9,null,
9dGu1TXJ9cnNPDRD,wnsKpRB9SE0gTZAq,21:34.0,null,
FO9TGua6J3Nl4uds,null,11:26.1,null,
pjU3gt6Fti6axeMj,go0Nl2hbR6L3zYu4,30:41.6,null,
94iFRPtpApTCJUkc,XmsrbZS1PW4BXwdd,30:28.0,56:07.8,25.66395242
JO0SGia9COmpYrKi,XmsrbZS1PW4BXwdd,31:13.6,null,
SWjTk16Q40V1kVUX,XmsrbZS1PW4BXwdd,01:57.5,null,
DOiiuY0dMj8OAYOr,null,51:10.3,null,
GfKVzZBTtjExR8Em,Mt5gm2BMr9UkJ0Jb,29:36.0,null,
M6TUf3fMYneqqXCA,VTqfOTwUp7OzTXaJ,08:54.7,null,
6PTa4K0z0qRX8Y4R,VTqfOTwUp7OzTXaJ,48:35.8,null,
yK6PZnZfjB4vYG4t,VTqfOTwUp7OzTXaJ,52:55.5,null,
nRHHxOS2IjEdZsWn,DbteEhDM8b0mdSZh,30:49.2,null,
ckrjDygdPsjoG0fm,MygnCSuK3WG5Oy06,59:31.1,null,
IgYV9edvzLDYJ50d,MygnCSuK3WG5Oy06,37:19.8,48:59.0,11.65377008
fANDsPKqDK7V5SLi,null,56:15.9,null,
M1uaI4NuXRCagqfl,7XhnS7b3Po4xHdry,34:27.4,null,
lSw4qrgxXWuzonBo,7XhnS7b3Po4xHdry,06:32.3,19:25.5,12.88630891
Ag9E4ajLVQIJzNNS,UxfHYLcsUT5JsBU2,19:14.8,null,
iBRIY6eXX8Mr9xX4,null,49:09.4,59:11.5,10.03492226
NIW3EBgBvmd3pNjp,3jrdlAC4lkdT667x,33:57.1,null,
PBeqRlyo9Pzi4I4F,zB5U7dJov72W4xxK,52:46.9,null,
sqRJiMRaDqboSQFT,zB5U7dJov72W4xxK,10:28.4,null,
G513P482BE5bRDVI,efW48jcLHf8jp7Cc,46:24.9,null,
gSeppQrF9ltAmCeg,kKdWdxB3ILXxvzr6,14:15.6,null,
Et6dx2GGCX2aST2P,kKdWdxB3ILXxvzr6,36:10.6,null,
yhX2PQrMtDR8zqeb,null,18:50.7,null,
tGnrgakHfL119ctW,cTki1GzJdZbhgJHN,39:06.8,null,
N2zuDqzQQ9dTyJCP,sCMfjOPe6xOvzYKS,22:54.3,46:39.3,23.750904
KOQrREQv3S42bftW,CJtrNS9O133ooxC1,57:22.3,null,
my7rF7DlcnHs9V2n,qWUypXqUUuRVA1ev,55:53.2,null,
VnVKzs6sVPJ1J7hu,GNbIQsNANJ6MbO0r,23:13.2,null,
LzAUcL2cAXKf0gYs,Tw1zkVaJXtEhNx1t,03:09.6,null,
